M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before LicenseMgr Init : M=1138.18mb, Malloc-M=400mb, Available-M=12819mb, T=0s CPU=0s W=(2025-10-20 12:58:16)
STATS:: after  LicenseMgr Init : M=1143.51mb, Malloc-M=401mb, Available-M=12814mb, T=0s CPU=0.6s W=(2025-10-20 12:58:16)
M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before Analyze M=1441.25mb, Malloc-M=436mb, Available-M=12782mb, T=0s CPU=0s W=(2025-10-20 12:58:17)
STATS:: after  Analyze M=1448.45mb, Malloc-M=439mb, Available-M=12769mb, T=5s CPU=0.12s W=(2025-10-20 12:58:22)
STATS:: before Load VCS Message: M=1448.45mb, Malloc-M=439mb, Available-M=12769mb, T=0s CPU=0s W=(2025-10-20 12:58:22)
STATS:: after  Load VCS Message: M=1448.45mb, Malloc-M=439mb, Available-M=12769mb, T=0s CPU=0s W=(2025-10-20 12:58:22)
STATS:: before Elaborate : M=1448.45mb, Malloc-M=441mb, Available-M=12771mb, T=0s CPU=0s W=(2025-10-20 12:58:22)
STATS:: after  Elaborate : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=5s CPU=0.85s W=(2025-10-20 12:58:27)
STATS:: before Load VCS Message: M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  Load VCS Message: M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before LoadCircuitModel : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   before VsiLib_Restore : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   after  VsiLib_Restore : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  LoadCircuitModel : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before BuildNetlist : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   before NLDM Build : M=1448.45mb, Malloc-M=442mb, Available-M=12738mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   after  NLDM Build : M=1463.84mb, Malloc-M=458mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   before Cell properties : M=1463.84mb, Malloc-M=458mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: |   after  Cell properties : M=1463.84mb, Malloc-M=458mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  BuildNetlist : M=1463.84mb, Malloc-M=458mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: before PropertyLoad: Formal Property : M=1463.97mb, Malloc-M=458mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
STATS:: after  PropertyLoad: Formal Property : M=1464.16mb, Malloc-M=459mb, Available-M=12723mb, T=0s CPU=0s W=(2025-10-20 12:58:27)
