(2025-10-20 13:28:42),0.0288277,0,start,1530.18,400,LicenseMgr Init : 
(2025-10-20 13:28:43),0.0465541,0,end,1535.51,401,LicenseMgr Init : 
(2025-10-20 13:28:43),0.0593182,0,start,1833.45,436,Analyze 
(2025-10-20 13:28:45),0.0944084,0,end,1839.57,439,Analyze 
(2025-10-20 13:28:45),0.0944559,0,start,1839.57,439,Load VCS Message: 
(2025-10-20 13:28:46),0.0945817,0,end,1839.57,439,Load VCS Message: 
(2025-10-20 13:28:46),0.0959923,0,start,1839.57,441,Elaborate : 
(2025-10-20 13:28:51),0.181041,0,end,1839.57,441,Elaborate : 
(2025-10-20 13:28:51),0.181084,0,start,1839.57,441,Load VCS Message: 
(2025-10-20 13:28:51),0.181227,0,end,1839.57,441,Load VCS Message: 
(2025-10-20 13:28:51),0.181267,0,start,1839.57,441,LoadCircuitModel : 
(2025-10-20 13:28:51),0.18133,0,start,1839.57,441,VsiLib_Restore : 
(2025-10-20 13:28:51),0.181372,0,end,1839.57,441,VsiLib_Restore : 
(2025-10-20 13:28:51),0.181409,0,end,1839.57,441,LoadCircuitModel : 
(2025-10-20 13:28:51),0.181441,0,start,1839.57,441,BuildNetlist : 
(2025-10-20 13:28:51),0.181472,0,start,1839.57,441,NLDM Build : 
(2025-10-20 13:28:51),0.181591,0,end,1854.97,457,NLDM Build : 
(2025-10-20 13:28:51),0.181634,1,start,1854.97,457,Cell properties : 
(2025-10-20 13:28:51),0.181673,1,end,1854.97,457,Cell properties : 
(2025-10-20 13:28:51),0.181714,0,end,1854.97,457,BuildNetlist : 
(2025-10-20 13:28:51),0.181844,0,start,1854.97,457,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.181969,0,end,1855.16,458,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.182024,0,start,1855.16,458,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.182063,0,end,1855.16,458,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.182113,0,start,1855.16,458,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.182153,0,end,1855.16,458,PropertyLoad: Formal Property : 
(2025-10-20 13:28:51),0.182227,0,start,1855.16,458,StaticCheck: StaticCheckProcess : 
(2025-10-20 13:28:51),0.182274,0,start,1855.16,458,StaticCheck: NldfgFlatDesign : 
(2025-10-20 13:28:51),0.18231,0,start,1855.16,458,StaticCheck: createFlatDesign : 
(2025-10-20 13:28:51),0.182386,0,end,1864.26,467,StaticCheck: createFlatDesign : 
(2025-10-20 13:28:51),0.182425,0,start,1864.26,467,StaticCheck: legalize : 
(2025-10-20 13:28:51),0.182465,0,end,1864.26,467,StaticCheck: legalize : 
(2025-10-20 13:28:51),0.182496,0,start,1864.26,467,StaticCheck: computeNetEquivalences : 
(2025-10-20 13:28:51),0.182533,0,end,1864.26,467,StaticCheck: computeNetEquivalences : 
(2025-10-20 13:28:51),0.182569,0,start,1864.26,467,StaticCheck: eliminateBidirectionals : 
(2025-10-20 13:28:51),0.182604,0,end,1864.26,467,StaticCheck: eliminateBidirectionals : 
(2025-10-20 13:28:51),0.182642,0,end,1864.26,467,StaticCheck: NldfgFlatDesign : 
(2025-10-20 13:28:51),0.182679,0,start,1864.26,467,StaticCheck: CombLoopCheck  : 
(2025-10-20 13:28:51),0.182724,0,end,1864.26,467,StaticCheck: CombLoopCheck  : 
(2025-10-20 13:28:51),0.182762,0,start,1864.26,467,StaticCheck: MultiDriverCheck  : 
(2025-10-20 13:28:51),0.182801,0,end,1864.26,467,StaticCheck: MultiDriverCheck  : 
(2025-10-20 13:28:51),0.182841,0,end,1864.26,458,StaticCheck: StaticCheckProcess : 
(2025-10-20 13:28:51),0.182985,0,start,1864.26,458,populate SSF data: 
(2025-10-20 13:28:51),0.18302,0,end,1864.26,458,populate SSF data: 
(2025-10-20 13:28:51),0.183058,0,start,1864.26,458,DumpGateCountStats : 
(2025-10-20 13:28:51),0.183122,0,end,1864.26,458,DumpGateCountStats : 
(2025-10-20 13:28:51),0.183167,1,start,1864.26,467,ModuleDesignPropagation : 
(2025-10-20 13:28:51),0.183202,1,end,1864.26,467,ModuleDesignPropagation : 
(2025-10-20 13:28:51),0.183634,0,start,1864.4,467,sim build substep: 
(2025-10-20 13:28:51),0.184487,0,end,1872.45,475,sim build substep: 
(2025-10-20 13:28:51),0.184526,0,start,1872.45,475,sim run substep: 
(2025-10-20 13:28:51),0.184733,0,end,1876.48,479,sim run substep: 
(2025-10-20 13:28:51),0.184818,0,start,1876.55,479,sim_save_reset : 
(2025-10-20 13:28:51),0.185447,0,end,1886.16,467,sim_save_reset : 
(2025-10-20 13:33:12),4.53501,0,start,1886.16,467,Check: check_fv : 
(2025-10-20 13:33:12),4.53509,0,start,1886.16,467,Check: BuildFormal : 
(2025-10-20 13:33:12),4.53515,0,start,1886.16,467,Check: Init : 
(2025-10-20 13:33:12),4.53519,0,end,1886.16,467,Check: Init : 
(2025-10-20 13:33:12),4.53523,0,start,1886.16,467,Check: ResetSetup : 
(2025-10-20 13:33:12),4.53528,0,start,1886.16,467,Check: EnvInstrumentation : 
(2025-10-20 13:33:12),4.53533,0,end,1886.16,467,Check: EnvInstrumentation : 
(2025-10-20 13:33:12),4.53539,0,end,1886.16,467,Check: ResetSetup : 
(2025-10-20 13:33:12),4.53544,0,start,1886.16,467,Check: BotEotInstr : 
