M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before LicenseMgr Init : M=1530.18mb, Malloc-M=400mb, Available-M=12644mb, T=0s CPU=0s W=(2025-10-20 13:28:42)
STATS:: after  LicenseMgr Init : M=1535.51mb, Malloc-M=401mb, Available-M=12639mb, T=1s CPU=0.6s W=(2025-10-20 13:28:43)
M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before Analyze M=1833.45mb, Malloc-M=436mb, Available-M=12602mb, T=0s CPU=0s W=(2025-10-20 13:28:43)
STATS:: after  Analyze M=1839.57mb, Malloc-M=439mb, Available-M=12589mb, T=2s CPU=0.12s W=(2025-10-20 13:28:45)
STATS:: before Load VCS Message: M=1839.57mb, Malloc-M=439mb, Available-M=12589mb, T=0s CPU=0s W=(2025-10-20 13:28:45)
STATS:: after  Load VCS Message: M=1839.57mb, Malloc-M=439mb, Available-M=12589mb, T=1s CPU=0.01s W=(2025-10-20 13:28:46)
STATS:: before Elaborate : M=1839.57mb, Malloc-M=441mb, Available-M=12596mb, T=0s CPU=0s W=(2025-10-20 13:28:46)
STATS:: after  Elaborate : M=1839.57mb, Malloc-M=441mb, Available-M=12589mb, T=5s CPU=0.83s W=(2025-10-20 13:28:51)
STATS:: before Load VCS Message: M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: after  Load VCS Message: M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: before LoadCircuitModel : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: |   before VsiLib_Restore : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: |   after  VsiLib_Restore : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: after  LoadCircuitModel : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: before BuildNetlist : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: |   before NLDM Build : M=1839.57mb, Malloc-M=441mb, Available-M=12590mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
STATS:: |   after  NLDM Build : M=1854.97mb, Malloc-M=457mb, Available-M=12574mb, T=0s CPU=0s W=(2025-10-20 13:28:51)
